Matched name	Primary name	Type	Identifier	Peaktime	rank	Phenotypes
LRIF1	LRIF1	Homo sapiens gene	ENSP00000358778	M	204	
NNMT	NNMT	Homo sapiens gene	ENSP00000299964	G2	205	
HIST2H4B	HIST2H4B	Homo sapiens gene	ENSP00000358153	S	206	
HIST2H4A	HIST2H4A	Homo sapiens gene	ENSP00000358162	S	207	
INSIG2	INSIG2	Homo sapiens gene	ENSP00000245787	G2	208	
HP1BP3	HP1BP3	Homo sapiens gene	ENSP00000312625	G2	209	
AOC2	AOC2	Homo sapiens gene	ENSP00000253799	G1	210	
SORBS2	SORBS2	Homo sapiens gene	ENSP00000284776	G1	211	
IER3	IER3	Homo sapiens gene	ENSP00000259874	non-periodic	212	
ENSP00000373054	ENSP00000373054	Homo sapiens gene	ENSP00000373054	non-periodic	213	
EZH2	EZH2	Homo sapiens gene	ENSP00000320147	S	214	
ARGLU1	ARGLU1	Homo sapiens gene	ENSP00000383059	G1/S	215	
WISP1	WISP1	Homo sapiens gene	ENSP00000250160	G2	216	
PAQR4	PAQR4	Homo sapiens gene	ENSP00000321804	G1/S	217	
PKMYT1	PKMYT1	Homo sapiens gene	ENSP00000262300	G1/S	218	
KIF2C	KIF2C	Homo sapiens gene	ENSP00000361298	M	219	G2/M, M
CENPQ	CENPQ	Homo sapiens gene	ENSP00000337289	S	220
HELLS	HELLS	Homo sapiens gene	ENSP00000239027	S	221	
SLC39A10	SLC39A10	Homo sapiens gene	ENSP00000352655	G1	222	
RAD51C	RAD51C	Homo sapiens gene	ENSP00000336701	M	223	
SUCLG2	SUCLG2	Homo sapiens gene	ENSP00000419325	G2	224	
CDC27	CDC27	Homo sapiens gene	ENSP00000434614	M	225	M
C1orf63	C1orf63	Homo sapiens gene	ENSP00000243189	G1	226	
NDC80	NDC80	Homo sapiens gene	ENSP00000261597	G2	227	
HIST2H2BE	HIST2H2BE	Homo sapiens gene	ENSP00000358151	G1	228	
PMEPA1	PMEPA1	Homo sapiens gene	ENSP00000345826	non-periodic	229	
FOSL1	FOSL1	Homo sapiens gene	ENSP00000310170	non-periodic	230	
DKC1	DKC1	Homo sapiens gene	ENSP00000358563	G1	231	
HSPA2	HSPA2	Homo sapiens gene	ENSP00000247207	G2	232	
USB1	USB1	Homo sapiens gene	ENSP00000219281	M	233	
UNG	UNG	Homo sapiens gene	ENSP00000242576	G1	234	
EXO1	EXO1	Homo sapiens gene	ENSP00000311873	S	235	
ETV4	ETV4	Homo sapiens gene	ENSP00000321835	G1	236	
CNIH4	CNIH4	Homo sapiens gene	ENSP00000420443	G1	237	
ARHGAP11A	ARHGAP11A	Homo sapiens gene	ENSP00000355090	G2	238	
ARHGAP11B	ARHGAP11B	Homo sapiens gene	ENSP00000392760	G2	239	
CYP4V2	CYP4V2	Homo sapiens gene	ENSP00000368079	G2	240
RRP1	RRP1	Homo sapiens gene	ENSP00000417464	G2/M	241	
MCM2	MCM2	Homo sapiens gene	ENSP00000265056	G1/S	242	
DNMT3B	DNMT3B	Homo sapiens gene	ENSP00000328547	G2	243	
VPS25	VPS25	Homo sapiens gene	ENSP00000253794	G2	244	
CTNNA1	CTNNA1	Homo sapiens gene	ENSP00000304669	G2/M	245	
RANGAP1	RANGAP1	Homo sapiens gene	ENSP00000348577	G2/M	246	
GABPB1	GABPB1	Homo sapiens gene	ENSP00000220429	G2/M	247	S
FANCD2	FANCD2	Homo sapiens gene	ENSP00000287647	G2	248	
ODF2	ODF2	Homo sapiens gene	ENSP00000361882	M	249	
PPP1R10	PPP1R10	Homo sapiens gene	ENSP00000365694	G2/M	250	
ENSP00000373080	ENSP00000373080	Homo sapiens gene	ENSP00000373080	G2/M	251	
CEP70	CEP70	Homo sapiens gene	ENSP00000264982	M	252	
HORMAD1	HORMAD1	Homo sapiens gene	ENSP00000355167	G1	253	
HIST1H4B	HIST1H4B	Homo sapiens gene	ENSP00000366581	S	254	
AKIRIN2	AKIRIN2	Homo sapiens gene	ENSP00000257787	M	255	
ZNF414	ZNF414	Homo sapiens gene	ENSP00000377504	G1/S	256	
TRIP13	TRIP13	Homo sapiens gene	ENSP00000166345	G2	257	
UBE2T	UBE2T	Homo sapiens gene	ENSP00000356243	G2	258	
DCAF7	DCAF7	Homo sapiens gene	ENSP00000308344	G2	259	
RAD51AP1	RAD51AP1	Homo sapiens gene	ENSP00000228843	G2	260
RHPN1	RHPN1	Homo sapiens gene	ENSP00000289013	S	261	
TSC22D1	TSC22D1	Homo sapiens gene	ENSP00000397435	G1	262	
STAT1	STAT1	Homo sapiens gene	ENSP00000354394	G2	263	
TRMT2A	TRMT2A	Homo sapiens gene	ENSP00000252136	G1	264	G1
STAT5B	STAT5B	Homo sapiens gene	ENSP00000293328	G2	265	
HIF1A	HIF1A	Homo sapiens gene	ENSP00000338018	G1	266	
TMED7	TMED7	Homo sapiens gene	ENSP00000405926	G1	267	
KIAA1524	KIAA1524	Homo sapiens gene	ENSP00000295746	G2	268	
CDKN2AIP	CDKN2AIP	Homo sapiens gene	ENSP00000427108	S	269	
SCD	SCD	Homo sapiens gene	ENSP00000359380	non-periodic	270	
TUBB2A	TUBB2A	Homo sapiens gene	ENSP00000369703	G2	271	
PWP1	PWP1	Homo sapiens gene	ENSP00000387365	M	272	
DDX58	DDX58	Homo sapiens gene	ENSP00000369213	G1	273	
ZC3H3	ZC3H3	Homo sapiens gene	ENSP00000262577	G2	274	
SLC1A3	SLC1A3	Homo sapiens gene	ENSP00000265113	G1	275	
COQ6	COQ6	Homo sapiens gene	ENSP00000333946	G2	276	
DDIT4	DDIT4	Homo sapiens gene	ENSP00000307305	non-periodic	277	
RUNX1	RUNX1	Homo sapiens gene	ENSP00000300305	G1/S	278	
EFHC1	EFHC1	Homo sapiens gene	ENSP00000360107	S	279	
ASIP	ASIP	Homo sapiens gene	ENSP00000364092	S	280
POLQ	POLQ	Homo sapiens gene	ENSP00000264233	G2	281	
TUBD1	TUBD1	Homo sapiens gene	ENSP00000320797	G2	282	
WDR90	WDR90	Homo sapiens gene	ENSP00000293879	S	283	G2
XBP1	XBP1	Homo sapiens gene	ENSP00000216037	G1	284	
TCEB3	TCEB3	Homo sapiens gene	ENSP00000395574	S	285	
RHOBTB3	RHOBTB3	Homo sapiens gene	ENSP00000369318	G2	286	
DSCC1	DSCC1	Homo sapiens gene	ENSP00000322180	G1/S	287	
ANP32E	ANP32E	Homo sapiens gene	ENSP00000324074	M	288	
BRCA1	BRCA1	Homo sapiens gene	ENSP00000418960	S	289	
NASP	NASP	Homo sapiens gene	ENSP00000255120	G1	290	
STIL	STIL	Homo sapiens gene	ENSP00000360944	G2	291	
IFIT2	IFIT2	Homo sapiens gene	ENSP00000360891	G1	292	
GCLM	GCLM	Homo sapiens gene	ENSP00000359258	G2	293	
ESPL1	ESPL1	Homo sapiens gene	ENSP00000257934	G2	294	
SV2B	SV2B	Homo sapiens gene	ENSP00000332818	non-periodic	295	
ZPBP	ZPBP	Homo sapiens gene	ENSP00000046087	M	296	
SFPQ	SFPQ	Homo sapiens gene	ENSP00000349748	M	297	
GAS1	GAS1	Homo sapiens gene	ENSP00000298743	G2	298	
HIST1H4C	HIST1H4C	Homo sapiens gene	ENSP00000367034	S	299	
MAP2K6	MAP2K6	Homo sapiens gene	ENSP00000468348	G1	300
MSH5	MSH5	Homo sapiens gene	ENSP00000364855	G2	301	
PLCXD1	PLCXD1	Homo sapiens gene	ENSP00000371073	G1	302	
STAG1	STAG1	Homo sapiens gene	ENSP00000372689	M	303	
LMNA	LMNA	Homo sapiens gene	ENSP00000357283	M	304	
ATRIP	ATRIP	Homo sapiens gene	ENSP00000323099	G1/S	305	
UBR5	UBR5	Homo sapiens gene	ENSP00000429084	G1/S	306	
PRAC	PRAC	Homo sapiens gene	ENSP00000290294	non-periodic	307	
DNAJB6	DNAJB6	Homo sapiens gene	ENSP00000262177	G1	308	G1
SEPN1	SEPN1	Homo sapiens gene	ENSP00000355141	M	309	
SH3GL2	SH3GL2	Homo sapiens gene	ENSP00000369981	S	310	
AFAP1	AFAP1	Homo sapiens gene	ENSP00000371983	G1	311	
FAM216A	FAM216A	Homo sapiens gene	ENSP00000366901	M	312	
MAD2L1	MAD2L1	Homo sapiens gene	ENSP00000296509	G2	313	G2/M, M
SREK1	SREK1	Homo sapiens gene	ENSP00000334538	G2	314	
ABCC5	ABCC5	Homo sapiens gene	ENSP00000333926	S	315	
FAM102B	FAM102B	Homo sapiens gene	ENSP00000359052	M	316	
E2F5	E2F5	Homo sapiens gene	ENSP00000398124	M	317	
TOPBP1	TOPBP1	Homo sapiens gene	ENSP00000260810	S	318	S
GABARAPL1	GABARAPL1	Homo sapiens gene	ENSP00000266458	non-periodic	319	
